DATE,IPG3113N
1972-01-01,74.6609
1972-02-01,62.5732
1972-03-01,57.5207
1972-04-01,56.2487
1972-05-01,56.6349
1972-06-01,58.9291
1972-07-01,60.1422
1972-08-01,61.7011
1972-09-01,65.3639
1972-10-01,93.1278
1972-11-01,91.9640
1972-12-01,92.2860
1973-01-01,79.5123
1973-02-01,67.2958
1973-03-01,60.6284
1973-04-01,61.2303
1973-05-01,62.4397
1973-06-01,65.2157
1973-07-01,62.7665
1973-08-01,63.7531
1973-09-01,70.2158
1973-10-01,89.6683
1973-11-01,95.1801
1973-12-01,91.6599
1974-01-01,77.2581
1974-02-01,72.8181
1974-03-01,67.2565
1974-04-01,58.6224
1974-05-01,64.9767
1974-06-01,69.3029
1974-07-01,57.5229
1974-08-01,61.9980
1974-09-01,61.1269
1974-10-01,86.4444
1974-11-01,88.1146
1974-12-01,75.7378
1975-01-01,58.4245
1975-02-01,45.9545
1975-03-01,44.1861
1975-04-01,52.1060
1975-05-01,53.0281
1975-06-01,55.2244
1975-07-01,54.2890
1975-08-01,58.2646
1975-09-01,57.7279
1975-10-01,83.8152
1975-11-01,91.8486
1975-12-01,88.8053
1976-01-01,76.4022
1976-02-01,65.2851
1976-03-01,53.8449
1976-04-01,56.0059
1976-05-01,61.3141
1976-06-01,59.3249
1976-07-01,60.3475
1976-08-01,62.4103
1976-09-01,67.1213
1976-10-01,94.2575
1976-11-01,97.6122
1976-12-01,99.6803
1977-01-01,85.1712
1977-02-01,78.7199
1977-03-01,67.5418
1977-04-01,66.3866
1977-05-01,67.9572
1977-06-01,68.2029
1977-07-01,66.0072
1977-08-01,67.9617
1977-09-01,73.2148
1977-10-01,94.8679
1977-11-01,92.2170
1977-12-01,98.1950
1978-01-01,78.2859
1978-02-01,69.9352
1978-03-01,66.4948
1978-04-01,67.3738
1978-05-01,66.7962
1978-06-01,68.1145
1978-07-01,63.1676
1978-08-01,66.1851
1978-09-01,72.1472
1978-10-01,91.6009
1978-11-01,97.3910
1978-12-01,99.4657
1979-01-01,85.9896
1979-02-01,73.8902
1979-03-01,70.6448
1979-04-01,67.2278
1979-05-01,68.2763
1979-06-01,70.6338
1979-07-01,65.1384
1979-08-01,67.1533
1979-09-01,70.3706
1979-10-01,88.0369
1979-11-01,92.9353
1979-12-01,91.9677
1980-01-01,75.6824
1980-02-01,73.5094
1980-03-01,64.8418
1980-04-01,57.0752
1980-05-01,64.7426
1980-06-01,67.0398
1980-07-01,61.8646
1980-08-01,67.2981
1980-09-01,67.9108
